,Facility Name,City,Country,IATA_Code,ICAO_Code,Lat,Lng,Alt(Feet),Hours__from UTC,TimeZone,Type
8300,Stevens Village Airport,Stevens Village,United States,SVS,\N,66.016944,-149.054444,329,-9,America/Anchorage,airport
8301,Akiachak Airport,Akiachak,United States,KKI,\N,60.906110999999996,-161.426944,25,-9,America/Anchorage,airport
8302,Atmautluak Airport,Atmautluak,United States,4A2,\N,60.86666700000001,-162.273056,17,-9,America/Anchorage,airport
8303,Napaskiak Airport,Napaskiak,United States,PKA,PAPK,60.70289993,-161.7779999,24,-9,America/Anchorage,airport
8304,Chignik Fisheries Airport,Chignik,United States,KCG,\N,56.317778000000004,-158.590833,25,-9,America/Anchorage,airport
8305,Tok Airport,Tok,United States,\N,PATJ,63.303332999999995,-143.001111,1670,-9,America/Anchorage,airport
8306,Klemtu Airport,Klemtu,Canada,YKT,\N,52.583332999999996,-128.533333,0,-8,America/Vancouver,airport
8307,Wekweeti Airport,Wekweeti,Canada,\N,CYWE,64.19166700000001,-114.07888899999999,1208,-7,America/Edmonton,airport
8308,Bedwell Harbour Seaplane Base,Bedwell Harbour,Canada,YBW,CAB3,48.75,-123.2330017,0,-8,America/Vancouver,airport
8312,Popham Airport,Popham,United Kingdom,\N,EGHP,51.19390106,-1.234719992,550,0,Europe/London,airport
8313,Causey Airport,Liberty,United States,2A5,K2A5,35.91180038,-79.61759949,723,-5,America/New_York,airport
8315,Silver Creek Airport,Stann Creek,Belize,SVK,\N,16.728417,-88.36925,216,-6,America/Belize,airport
8316,Independence Airport,Independence,Belize,INB,\N,16.521944,-88.410583,18,-6,America/Belize,airport
8317,Corazon de Jesus Airport,Corazon de Jesus,Panama,CZJ,\N,9.447222,-78.575,8,-5,America/Panama,airport
8318,Abaco I Walker C Airport,Walker's Cay,Bahamas,WKR,MYAW,27.26670074,-78.39969635,10,-5,\N,airport
8319,Black Point Airstrip,Black Point,Bahamas,\N,MYEB,24.08948845,-76.39791727,10,-5,America/Nassau,airport
8320,Bartica A Airport,Bartica,Guyana,GFO,SYBT,6.374770164,-58.63809967,3,-4,America/Guyana,airport
8322,Doylestown Airport,Doylestown,United States,DYL,KDYL,40.33300018,-75.12229919,394,-5,America/New_York,airport
8327,Tingo Maria Airport,Tingo Maria,Peru,TGI,SPGM,-9.133000374,-75.94999695,2010,-5,America/Lima,airport
8328,Plínio Alarcom Airport,Tres Lagoas,Brazil,TJL,SSTL,-20.75419998,-51.68420029,1050,-4,America/Campo_Grande,airport
8330,Cacoal Airport,Cacoal,Brazil,OAL,SSKW,-11.495999999999999,-61.4508,778,-4,America/Boa_Vista,airport
8331,Warren Field,Washington,United States,OCW,KOCW,35.57049942,-77.04979706,38,-5,America/New_York,airport
8332,Hyde County Airport,Engelhard,United States,7W6,K7W6,35.56240082,-75.9552002,8,-5,America/New_York,airport
8333,Mocopulli Airport,Castro,Chile,MHC,SCPQ,-42.340388,-73.715693,528,-4,America/Santiago,airport
8335,Stillwater Regional Airport,Stillwater,United States,\N,KSWO,36.16120148,-97.08570099,1000,-6,America/Chicago,airport
8336,Okmulgee Regional Airport,Okmulgee,United States,\N,KOKM,35.66809845,-95.94869995,720,-6,America/Chicago,airport
8337,Cushing Municipal Airport,Cushing,United States,\N,KCUH,35.94990158,-96.77310181,916,-6,America/Chicago,airport
8338,Clinton Sherman Airport,Clinton,United States,\N,KCSM,35.33980179,-99.20050049,1922,-6,America/Chicago,airport
8339,Strother Field,Winfield,United States,\N,KWLD,37.16859818,-97.03759766,1160,-6,America/Chicago,airport
8340,Wiley Post Airport,Oklahoma City,United States,\N,KPWA,35.53419876,-97.64710236,1300,-6,America/Chicago,airport
8341,Shreveport Downtown Airport,Shreveport,United States,\N,KDTN,32.54019928,-93.74500275,179,-6,America/Chicago,airport
8342,Stephenville Clark Regional Airport,Stephenville,United States,\N,KSEP,32.21530151,-98.17769623,1321,-6,America/Chicago,airport
8343,Perry Municipal Airport,Perry,United States,\N,KF22,36.38560104,-97.27719879,1002,-6,America/Chicago,airport
8345,Hamilton Municipal Airport,Hamilton,United States,\N,KMNZ,31.66589928,-98.14859772,1299,-6,America/Chicago,airport
8346,Ada Municipal Airport,Ada,United States,\N,KADH,34.8042984,-96.67130279999999,1016,-6,America/Chicago,airport
8347,Mesquite Metro Airport,Misquite,United States,\N,KHQZ,32.74700165,-96.53040314,447,-6,America/Chicago,airport
8348,Denton Municipal Airport,Denton,United States,\N,KDTO,33.20069885,-97.19799805,642,-6,America/Chicago,airport
